2020-11-23 23:45:30 DEBUG MessageService:43 - Message sent!
2020-11-23 23:45:31 INFO  UserService:109 - triggered by order service : Uasya0
2020-11-23 23:46:30 DEBUG OrderService:50 - order created : 1
2020-11-23 23:46:30 DEBUG UserService:77 - user's cards 1
2020-11-23 23:46:30 DEBUG UserService:77 - user's cards 1
2020-11-23 23:46:30 DEBUG UserService:77 - user's cards 1
2020-11-23 23:46:31 DEBUG UserService:77 - user's cards 1
2020-11-23 23:46:31 DEBUG OrderService:76 - event was published 
2020-11-23 23:46:31 DEBUG MessageService:43 - Message sent!
2020-11-23 23:46:31 INFO  UserService:109 - triggered by order service : Uasya0
2020-11-23 23:54:11 DEBUG OrderService:50 - order created : 1
2020-11-23 23:54:11 DEBUG UserService:77 - user's cards 1
2020-11-23 23:58:02 DEBUG OrderService:50 - order created : 1
2020-11-23 23:58:03 DEBUG UserService:77 - user's cards 1
2020-11-24 09:55:39 DEBUG OrderService:50 - order created : 1
2020-11-24 09:55:40 DEBUG UserService:77 - user's cards 1
2020-11-24 10:01:49 DEBUG OrderService:50 - order created : 1
2020-11-24 10:01:50 DEBUG UserService:77 - user's cards 1
2020-11-24 10:10:05 DEBUG OrderService:50 - order created : 1
2020-11-24 10:10:05 DEBUG OrderService:76 - event was published 
2020-11-24 10:10:06 DEBUG MessageService:43 - Message sent!
2020-11-24 10:10:06 INFO  UserService:109 - triggered by order service : Uasya 0
2020-11-24 10:28:09 DEBUG UserService:65 - user has been saved: Uasya
2020-11-24 10:29:15 DEBUG UserService:65 - user has been saved: Uasya
2020-11-24 10:31:04 DEBUG UserService:65 - user has been saved: Uasya
2020-11-24 10:50:37 DEBUG UserService:65 - user has been saved: Uasya
2020-11-24 10:50:37 DEBUG OrderService:50 - order created : 1
2020-11-24 10:54:22 DEBUG UserService:65 - user has been saved: Uasya
2020-11-24 10:54:22 DEBUG UserService:77 - user's cards 1
2020-11-24 11:00:31 DEBUG UserService:65 - user has been saved: Uasya
